version;N;trial;reps;kernel_ms
scalar;1;1;200000;0,000083
vector;1;1;200000;0,000170
vector;1;2;200000;0,000157
scalar;1;2;200000;0,000148
scalar;1;3;200000;0,000149
vector;1;3;200000;0,000164
vector;1;4;200000;0,000173
scalar;1;4;200000;0,000149
scalar;1;5;200000;0,000154
vector;1;5;200000;0,000176
vector;1;6;200000;0,000158
scalar;1;6;200000;0,000141
scalar;1;7;200000;0,000141
vector;1;7;200000;0,000152
vector;1;8;200000;0,000146
scalar;1;8;200000;0,000119
scalar;1;9;200000;0,000131
vector;1;9;200000;0,000119
vector;1;10;200000;0,000131
scalar;1;10;200000;0,000113
scalar;2;1;200000;0,000135
vector;2;1;200000;0,000159
vector;2;2;200000;0,000165
scalar;2;2;200000;0,000142
scalar;2;3;200000;0,000149
vector;2;3;200000;0,000166
vector;2;4;200000;0,000160
scalar;2;4;200000;0,000150
scalar;2;5;200000;0,000152
vector;2;5;200000;0,000161
vector;2;6;200000;0,000146
scalar;2;6;200000;0,000141
scalar;2;7;200000;0,000145
vector;2;7;200000;0,000145
vector;2;8;200000;0,000156
scalar;2;8;200000;0,000144
scalar;2;9;200000;0,000144
vector;2;9;200000;0,000156
vector;2;10;200000;0,000155
scalar;2;10;200000;0,000152
scalar;4;1;200000;0,000172
vector;4;1;200000;0,000177
vector;4;2;200000;0,000183
scalar;4;2;200000;0,000175
scalar;4;3;200000;0,000178
vector;4;3;200000;0,000189
vector;4;4;200000;0,000177
scalar;4;4;200000;0,000176
scalar;4;5;200000;0,000181
vector;4;5;200000;0,000179
vector;4;6;200000;0,000188
scalar;4;6;200000;0,000181
scalar;4;7;200000;0,000177
vector;4;7;200000;0,000206
vector;4;8;200000;0,000173
scalar;4;8;200000;0,000156
scalar;4;9;200000;0,000159
vector;4;9;200000;0,000151
vector;4;10;200000;0,000157
scalar;4;10;200000;0,000150
scalar;7;1;200000;0,000178
vector;7;1;200000;0,000184
vector;7;2;200000;0,000198
scalar;7;2;200000;0,000188
