N,reps,working_set_KB,scalar_mean_ms,scalar_median_ms,scalar_min_ms,scalar_std_ms,vector_mean_ms,vector_median_ms,vector_min_ms,vector_std_ms,speedup_median,speedup_min,scalar_ns_por_elem,vector_ns_por_elem
1,200000,0.008000,0.000133,0.000141,0.000083,0.000022,0.000155,0.000157,0.000119,0.000018,0.895238,0.697479,141.000000,157.500000
2,200000,0.016000,0.000145,0.000144,0.000135,0.000005,0.000157,0.000157,0.000145,0.000007,0.917460,0.931034,72.250000,78.750000
4,200000,0.031000,0.000170,0.000175,0.000150,0.000011,0.000178,0.000178,0.000151,0.000016,0.985955,0.993377,43.875000,44.500000
7,200000,0.055000,0.000189,0.000188,0.000178,0.000007,0.000198,0.000200,0.000181,0.000012,0.940000,0.983425,26.857143,28.571429
8,200000,0.062000,0.000201,0.000200,0.000193,0.000006,0.000164,0.000163,0.000155,0.000005,1.226994,1.245161,25.000000,20.375000
15,200000,0.117000,0.000217,0.000207,0.000111,0.000070,0.000202,0.000193,0.000096,0.000076,1.069767,1.156250,13.800000,12.900000
16,200000,0.125000,0.000278,0.000291,0.000205,0.000033,0.000181,0.000181,0.000169,0.000008,1.607735,1.213018,18.187500,11.312500
31,200000,0.242000,0.000398,0.000442,0.000233,0.000112,0.000210,0.000205,0.000115,0.000064,2.163814,2.026087,14.274194,6.596774
32,200000,0.250000,0.000463,0.000486,0.000340,0.000067,0.000187,0.000208,0.000090,0.000061,2.330935,3.777778,15.187500,6.515625
63,200000,0.492000,0.000657,0.000739,0.000297,0.000230,0.000231,0.000250,0.000116,0.000091,2.963928,2.560345,11.738095,3.960317
64,200000,0.500000,0.000691,0.000721,0.000360,0.000229,0.000212,0.000209,0.000115,0.000081,3.443914,3.130435,11.273437,3.273438
100,200000,0.781000,0.000939,0.000895,0.000475,0.000330,0.000241,0.000198,0.000127,0.000124,4.531646,3.740157,8.950000,1.975000
127,200000,0.992000,0.001110,0.001041,0.000596,0.000380,0.000219,0.000169,0.000151,0.000082,6.159763,3.947020,8.196850,1.330709
128,200000,1.000000,0.001103,0.001121,0.000722,0.000342,0.000166,0.000162,0.000124,0.000033,6.919753,5.822581,8.757812,1.265625
255,196078,1.992000,0.001667,0.001662,0.001173,0.000471,0.000450,0.000327,0.000236,0.000228,5.076336,4.970339,6.519608,1.284314
256,195312,2.000000,0.001769,0.001735,0.001190,0.000403,0.000270,0.000233,0.000201,0.000143,7.462366,5.920398,6.777344,0.908203
500,100000,3.906000,0.003815,0.003698,0.002284,0.001011,0.000605,0.000432,0.000388,0.000323,8.561343,5.886598,7.397000,0.864000
512,97656,4.000000,0.003482,0.003570,0.002364,0.000563,0.000516,0.000402,0.000387,0.000236,8.892902,6.108527,6.973633,0.784180
1000,50000,7.812000,0.007118,0.007475,0.004767,0.000979,0.001342,0.000914,0.000781,0.000631,8.178884,6.103713,7.475500,0.914000
1001,49950,7.820000,0.007055,0.007756,0.004591,0.001782,0.001107,0.000866,0.000763,0.000490,8.955543,6.017038,7.747752,0.865135
1024,48828,8.000000,0.006240,0.006482,0.004686,0.001195,0.001027,0.000831,0.000793,0.000384,7.804937,5.909206,6.330078,0.811035
2048,24414,16.000000,0.013629,0.015728,0.009558,0.003396,0.002012,0.001720,0.001584,0.000670,9.144477,6.034091,7.679932,0.839844
4096,12207,32.000000,0.030249,0.029707,0.025518,0.004341,0.005294,0.003856,0.003343,0.002301,7.704098,7.633264,7.252686,0.941406
8192,6103,64.000000,0.049387,0.052660,0.037897,0.009772,0.006953,0.006804,0.006611,0.000456,7.739638,5.732416,6.428284,0.830566
10000,5000,78.125000,0.054796,0.047683,0.045599,0.010799,0.009591,0.008206,0.007898,0.003932,5.811102,5.773487,4.768300,0.820550
16384,3051,128.000000,0.114371,0.118929,0.079592,0.016807,0.018956,0.014870,0.013312,0.007637,7.998184,5.978966,7.258850,0.907562
32768,1525,256.000000,0.219822,0.211878,0.155438,0.045367,0.038417,0.030213,0.026882,0.016579,7.012826,5.782233,6.466019,0.922028
65536,762,512.000000,0.385033,0.391463,0.305629,0.063689,0.086323,0.061276,0.054349,0.044918,6.388521,5.623452,5.973251,0.934998
100000,500,781.250000,0.681083,0.691961,0.474183,0.125602,0.146268,0.100450,0.087606,0.069335,6.888611,5.412677,6.919610,1.004500
131072,381,1024.000000,0.917196,0.908938,0.615453,0.173873,0.196342,0.129369,0.112912,0.099616,7.025934,5.450732,6.934647,0.987007
262144,190,2048.000000,1.805320,1.733189,1.296298,0.314368,0.394823,0.301775,0.233110,0.190713,5.743314,5.560885,6.611589,1.151180
524288,95,4096.000000,3.564604,3.763520,2.538801,0.576700,0.879266,0.644224,0.494544,0.482446,5.841948,5.133620,7.178345,1.228759
1000000,50,7812.500000,7.439909,7.295481,5.295321,1.208677,2.247991,2.011218,1.318331,0.858630,3.627394,4.016685,7.295481,2.011218
2097152,23,16384.000000,14.371752,15.260568,10.436021,2.566977,4.954918,4.941370,3.433602,1.094126,3.088328,3.039380,7.276806,2.356229
4194304,11,32768.000000,26.193418,25.345379,21.030526,5.306775,10.034252,9.995581,7.194983,1.771552,2.535658,2.922943,6.042809,2.383132
8388608,5,65536.000000,48.503329,46.166263,41.589146,6.930442,21.304559,19.507388,13.836114,6.971695,2.366604,3.005840,5.503447,2.325462
10000000,5,78125.000000,64.688569,66.264747,50.319814,8.153738,29.406999,28.540163,17.508065,7.805572,2.321807,2.874093,6.626475,2.854016
