version,N,trial,reps,kernel_ms
scalar,1,1,200000,0.000128
vector,1,1,200000,0.000130
vector,1,2,200000,0.000130
scalar,1,2,200000,0.000119
scalar,1,3,200000,0.000106
vector,1,3,200000,0.000050
vector,1,4,200000,0.000050
scalar,1,4,200000,0.000040
scalar,1,5,200000,0.000046
vector,1,5,200000,0.000043
vector,1,6,200000,0.000046
scalar,1,6,200000,0.000046
scalar,1,7,200000,0.000041
vector,1,7,200000,0.000049
vector,1,8,200000,0.000044
scalar,1,8,200000,0.000043
scalar,1,9,200000,0.000043
vector,1,9,200000,0.000047
vector,1,10,200000,0.000048
scalar,1,10,200000,0.000044
scalar,2,1,200000,0.000050
vector,2,1,200000,0.000048
vector,2,2,200000,0.000056
scalar,2,2,200000,0.000047
scalar,2,3,200000,0.000052
vector,2,3,200000,0.000049
vector,2,4,200000,0.000052
scalar,2,4,200000,0.000049
scalar,2,5,200000,0.000047
vector,2,5,200000,0.000047
vector,2,6,200000,0.000048
scalar,2,6,200000,0.000061
scalar,2,7,200000,0.000049
vector,2,7,200000,0.000048
vector,2,8,200000,0.000057
scalar,2,8,200000,0.000046
scalar,2,9,200000,0.000049
vector,2,9,200000,0.000049
vector,2,10,200000,0.000050
scalar,2,10,200000,0.000047
scalar,4,1,200000,0.000056
vector,4,1,200000,0.000063
vector,4,2,200000,0.000058
scalar,4,2,200000,0.000055
scalar,4,3,200000,0.000058
vector,4,3,200000,0.000054
vector,4,4,200000,0.000065
scalar,4,4,200000,0.000057
scalar,4,5,200000,0.000057
vector,4,5,200000,0.000058
vector,4,6,200000,0.000056
scalar,4,6,200000,0.000059
scalar,4,7,200000,0.000061
vector,4,7,200000,0.000058
vector,4,8,200000,0.000057
scalar,4,8,200000,0.000056
scalar,4,9,200000,0.000058
vector,4,9,200000,0.000061
vector,4,10,200000,0.000063
scalar,4,10,200000,0.000056
scalar,7,1,200000,0.000071
vector,7,1,200000,0.000074
vector,7,2,200000,0.000073
scalar,7,2,200000,0.000070
scalar,7,3,200000,0.000075
vector,7,3,200000,0.000070
vector,7,4,200000,0.000075
scalar,7,4,200000,0.000069
scalar,7,5,200000,0.000072
vector,7,5,200000,0.000071
vector,7,6,200000,0.000067
scalar,7,6,200000,0.000070
scalar,7,7,200000,0.000072
vector,7,7,200000,0.000073
vector,7,8,200000,0.000077
scalar,7,8,200000,0.000065
scalar,7,9,200000,0.000072
vector,7,9,200000,0.000072
vector,7,10,200000,0.000073
scalar,7,10,200000,0.000068
scalar,8,1,200000,0.000073
vector,8,1,200000,0.000057
vector,8,2,200000,0.000058
scalar,8,2,200000,0.000075
scalar,8,3,200000,0.000075
vector,8,3,200000,0.000057
vector,8,4,200000,0.000062
scalar,8,4,200000,0.000071
scalar,8,5,200000,0.000071
vector,8,5,200000,0.000062
vector,8,6,200000,0.000061
scalar,8,6,200000,0.000070
scalar,8,7,200000,0.000074
vector,8,7,200000,0.000057
vector,8,8,200000,0.000061
scalar,8,8,200000,0.000074
scalar,8,9,200000,0.000072
vector,8,9,200000,0.000056
vector,8,10,200000,0.000062
scalar,8,10,200000,0.000074
scalar,15,1,200000,0.000112
vector,15,1,200000,0.000097
vector,15,2,200000,0.000101
scalar,15,2,200000,0.000114
scalar,15,3,200000,0.000115
vector,15,3,200000,0.000102
vector,15,4,200000,0.000105
scalar,15,4,200000,0.000111
scalar,15,5,200000,0.000114
vector,15,5,200000,0.000101
vector,15,6,200000,0.000111
scalar,15,6,200000,0.000118
scalar,15,7,200000,0.000117
vector,15,7,200000,0.000105
vector,15,8,200000,0.000101
scalar,15,8,200000,0.000112
scalar,15,9,200000,0.000111
vector,15,9,200000,0.000096
vector,15,10,200000,0.000110
scalar,15,10,200000,0.000113
scalar,16,1,200000,0.000116
vector,16,1,200000,0.000072
vector,16,2,200000,0.000073
scalar,16,2,200000,0.000114
scalar,16,3,200000,0.000114
vector,16,3,200000,0.000068
vector,16,4,200000,0.000075
scalar,16,4,200000,0.000116
scalar,16,5,200000,0.000118
vector,16,5,200000,0.000072
vector,16,6,200000,0.000076
scalar,16,6,200000,0.000117
scalar,16,7,200000,0.000119
vector,16,7,200000,0.000071
vector,16,8,200000,0.000074
scalar,16,8,200000,0.000116
scalar,16,9,200000,0.000113
vector,16,9,200000,0.000069
vector,16,10,200000,0.000074
scalar,16,10,200000,0.000116
scalar,31,1,200000,0.000221
vector,31,1,200000,0.000118
vector,31,2,200000,0.000118
scalar,31,2,200000,0.000219
scalar,31,3,200000,0.000214
vector,31,3,200000,0.000124
vector,31,4,200000,0.000125
scalar,31,4,200000,0.000207
scalar,31,5,200000,0.000203
vector,31,5,200000,0.000105
vector,31,6,200000,0.000110
scalar,31,6,200000,0.000176
scalar,31,7,200000,0.000188
vector,31,7,200000,0.000112
vector,31,8,200000,0.000104
scalar,31,8,200000,0.000178
scalar,31,9,200000,0.000175
vector,31,9,200000,0.000108
vector,31,10,200000,0.000109
scalar,31,10,200000,0.000174
scalar,32,1,200000,0.000173
vector,32,1,200000,0.000068
vector,32,2,200000,0.000071
scalar,32,2,200000,0.000162
scalar,32,3,200000,0.000157
vector,32,3,200000,0.000067
vector,32,4,200000,0.000068
scalar,32,4,200000,0.000163
scalar,32,5,200000,0.000159
vector,32,5,200000,0.000066
vector,32,6,200000,0.000068
scalar,32,6,200000,0.000156
scalar,32,7,200000,0.000156
vector,32,7,200000,0.000068
vector,32,8,200000,0.000068
scalar,32,8,200000,0.000156
scalar,32,9,200000,0.000158
vector,32,9,200000,0.000066
vector,32,10,200000,0.000068
scalar,32,10,200000,0.000162
scalar,63,1,200000,0.000294
vector,63,1,200000,0.000119
vector,63,2,200000,0.000117
scalar,63,2,200000,0.000299
scalar,63,3,200000,0.000297
vector,63,3,200000,0.000121
vector,63,4,200000,0.000118
scalar,63,4,200000,0.000297
scalar,63,5,200000,0.000301
vector,63,5,200000,0.000113
vector,63,6,200000,0.000118
scalar,63,6,200000,0.000301
scalar,63,7,200000,0.000298
vector,63,7,200000,0.000110
vector,63,8,200000,0.000109
scalar,63,8,200000,0.000302
scalar,63,9,200000,0.000300
vector,63,9,200000,0.000106
vector,63,10,200000,0.000111
scalar,63,10,200000,0.000298
scalar,64,1,200000,0.000300
vector,64,1,200000,0.000084
vector,64,2,200000,0.000086
scalar,64,2,200000,0.000301
scalar,64,3,200000,0.000299
vector,64,3,200000,0.000083
vector,64,4,200000,0.000084
scalar,64,4,200000,0.000297
scalar,64,5,200000,0.000307
vector,64,5,200000,0.000088
vector,64,6,200000,0.000089
scalar,64,6,200000,0.000307
scalar,64,7,200000,0.000303
vector,64,7,200000,0.000087
vector,64,8,200000,0.000084
scalar,64,8,200000,0.000299
scalar,64,9,200000,0.000311
vector,64,9,200000,0.000086
vector,64,10,200000,0.000085
scalar,64,10,200000,0.000314
scalar,100,1,200000,0.000464
vector,100,1,200000,0.000120
vector,100,2,200000,0.000121
scalar,100,2,200000,0.000482
scalar,100,3,200000,0.000477
vector,100,3,200000,0.000120
vector,100,4,200000,0.000121
scalar,100,4,200000,0.000470
scalar,100,5,200000,0.000481
vector,100,5,200000,0.000125
vector,100,6,200000,0.000127
scalar,100,6,200000,0.000490
scalar,100,7,200000,0.000501
vector,100,7,200000,0.000127
vector,100,8,200000,0.000129
scalar,100,8,200000,0.000493
scalar,100,9,200000,0.000482
vector,100,9,200000,0.000132
vector,100,10,200000,0.000124
scalar,100,10,200000,0.000474
scalar,127,1,200000,0.000619
vector,127,1,200000,0.000159
vector,127,2,200000,0.000162
scalar,127,2,200000,0.000619
scalar,127,3,200000,0.000619
vector,127,3,200000,0.000158
vector,127,4,200000,0.000155
scalar,127,4,200000,0.000621
scalar,127,5,200000,0.000609
vector,127,5,200000,0.000151
vector,127,6,200000,0.000154
scalar,127,6,200000,0.000639
scalar,127,7,200000,0.000612
vector,127,7,200000,0.000150
vector,127,8,200000,0.000152
scalar,127,8,200000,0.000599
scalar,127,9,200000,0.000611
vector,127,9,200000,0.000153
vector,127,10,200000,0.000155
scalar,127,10,200000,0.000598
scalar,128,1,200000,0.000605
vector,128,1,200000,0.000124
vector,128,2,200000,0.000125
scalar,128,2,200000,0.000622
scalar,128,3,200000,0.000645
vector,128,3,200000,0.000132
vector,128,4,200000,0.000132
scalar,128,4,200000,0.000632
scalar,128,5,200000,0.000623
vector,128,5,200000,0.000129
vector,128,6,200000,0.000131
scalar,128,6,200000,0.000629
scalar,128,7,200000,0.000626
vector,128,7,200000,0.000133
vector,128,8,200000,0.000131
scalar,128,8,200000,0.000606
scalar,128,9,200000,0.000639
vector,128,9,200000,0.000124
vector,128,10,200000,0.000127
scalar,128,10,200000,0.000600
scalar,255,1,196078,0.001217
vector,255,1,196078,0.000234
vector,255,2,196078,0.000236
scalar,255,2,196078,0.001206
scalar,255,3,196078,0.001210
vector,255,3,196078,0.000260
vector,255,4,196078,0.000255
scalar,255,4,196078,0.001237
scalar,255,5,196078,0.001216
vector,255,5,196078,0.000247
vector,255,6,196078,0.000249
scalar,255,6,196078,0.001202
scalar,255,7,196078,0.001195
vector,255,7,196078,0.000246
vector,255,8,196078,0.000244
scalar,255,8,196078,0.001212
scalar,255,9,196078,0.001194
vector,255,9,196078,0.000252
vector,255,10,196078,0.000248
scalar,255,10,196078,0.001204
scalar,256,1,195312,0.001188
vector,256,1,195312,0.000215
vector,256,2,195312,0.000212
scalar,256,2,195312,0.001214
scalar,256,3,195312,0.001194
vector,256,3,195312,0.000210
vector,256,4,195312,0.000219
scalar,256,4,195312,0.001234
scalar,256,5,195312,0.001214
vector,256,5,195312,0.000212
vector,256,6,195312,0.000209
scalar,256,6,195312,0.001193
scalar,256,7,195312,0.001207
vector,256,7,195312,0.000206
vector,256,8,195312,0.000206
scalar,256,8,195312,0.001184
scalar,256,9,195312,0.001218
vector,256,9,195312,0.000209
vector,256,10,195312,0.000214
scalar,256,10,195312,0.001199
scalar,500,1,100000,0.002305
vector,500,1,100000,0.000404
vector,500,2,100000,0.000395
scalar,500,2,100000,0.002298
scalar,500,3,100000,0.002378
vector,500,3,100000,0.000400
vector,500,4,100000,0.000405
scalar,500,4,100000,0.002363
scalar,500,5,100000,0.002351
vector,500,5,100000,0.000401
vector,500,6,100000,0.000401
scalar,500,6,100000,0.002356
scalar,500,7,100000,0.002347
vector,500,7,100000,0.000397
vector,500,8,100000,0.000412
scalar,500,8,100000,0.002393
scalar,500,9,100000,0.002426
vector,500,9,100000,0.000409
vector,500,10,100000,0.000404
scalar,500,10,100000,0.002346
scalar,512,1,97656,0.002440
vector,512,1,97656,0.000399
vector,512,2,97656,0.000402
scalar,512,2,97656,0.002443
scalar,512,3,97656,0.002447
vector,512,3,97656,0.000395
vector,512,4,97656,0.000405
scalar,512,4,97656,0.002467
scalar,512,5,97656,0.002434
vector,512,5,97656,0.000411
vector,512,6,97656,0.000407
scalar,512,6,97656,0.002387
scalar,512,7,97656,0.002369
vector,512,7,97656,0.000414
vector,512,8,97656,0.000406
scalar,512,8,97656,0.002426
scalar,512,9,97656,0.002465
vector,512,9,97656,0.000399
vector,512,10,97656,0.000397
scalar,512,10,97656,0.002365
scalar,1000,1,50000,0.004644
vector,1000,1,50000,0.000786
vector,1000,2,50000,0.000810
scalar,1000,2,50000,0.004732
scalar,1000,3,50000,0.004778
vector,1000,3,50000,0.000767
vector,1000,4,50000,0.000778
scalar,1000,4,50000,0.004641
scalar,1000,5,50000,0.004647
vector,1000,5,50000,0.000776
vector,1000,6,50000,0.000771
scalar,1000,6,50000,0.004628
scalar,1000,7,50000,0.004850
vector,1000,7,50000,0.000791
vector,1000,8,50000,0.000802
scalar,1000,8,50000,0.004680
scalar,1000,9,50000,0.004720
vector,1000,9,50000,0.000800
vector,1000,10,50000,0.000803
scalar,1000,10,50000,0.004719
scalar,1001,1,49950,0.004836
vector,1001,1,49950,0.000818
vector,1001,2,49950,0.000837
scalar,1001,2,49950,0.004802
scalar,1001,3,49950,0.004789
vector,1001,3,49950,0.000794
vector,1001,4,49950,0.000792
scalar,1001,4,49950,0.004749
scalar,1001,5,49950,0.004710
vector,1001,5,49950,0.000789
vector,1001,6,49950,0.000786
scalar,1001,6,49950,0.004753
scalar,1001,7,49950,0.004815
vector,1001,7,49950,0.000802
vector,1001,8,49950,0.000798
scalar,1001,8,49950,0.004659
scalar,1001,9,49950,0.004653
vector,1001,9,49950,0.000770
vector,1001,10,49950,0.000796
scalar,1001,10,49950,0.004597
scalar,1024,1,48828,0.004876
vector,1024,1,48828,0.000811
vector,1024,2,48828,0.000819
scalar,1024,2,48828,0.004801
scalar,1024,3,48828,0.004858
vector,1024,3,48828,0.000885
vector,1024,4,48828,0.000880
scalar,1024,4,48828,0.004782
scalar,1024,5,48828,0.004832
vector,1024,5,48828,0.000846
vector,1024,6,48828,0.000831
scalar,1024,6,48828,0.004912
scalar,1024,7,48828,0.004809
vector,1024,7,48828,0.000781
vector,1024,8,48828,0.000794
scalar,1024,8,48828,0.004789
scalar,1024,9,48828,0.004775
vector,1024,9,48828,0.000816
vector,1024,10,48828,0.000811
scalar,1024,10,48828,0.004706
scalar,2048,1,24414,0.009742
vector,2048,1,24414,0.001651
vector,2048,2,24414,0.001666
scalar,2048,2,24414,0.009508
scalar,2048,3,24414,0.009562
vector,2048,3,24414,0.001597
vector,2048,4,24414,0.001606
scalar,2048,4,24414,0.009564
scalar,2048,5,24414,0.009763
vector,2048,5,24414,0.001612
vector,2048,6,24414,0.001667
scalar,2048,6,24414,0.009793
scalar,2048,7,24414,0.009884
vector,2048,7,24414,0.001662
vector,2048,8,24414,0.001685
scalar,2048,8,24414,0.009447
scalar,2048,9,24414,0.009740
vector,2048,9,24414,0.001646
vector,2048,10,24414,0.001645
scalar,2048,10,24414,0.009847
scalar,4096,1,12207,0.019292
vector,4096,1,12207,0.003313
vector,4096,2,12207,0.003274
scalar,4096,2,12207,0.019204
scalar,4096,3,12207,0.019410
vector,4096,3,12207,0.003298
vector,4096,4,12207,0.003429
scalar,4096,4,12207,0.019931
scalar,4096,5,12207,0.019931
vector,4096,5,12207,0.003401
vector,4096,6,12207,0.003547
scalar,4096,6,12207,0.019389
scalar,4096,7,12207,0.019395
vector,4096,7,12207,0.003461
vector,4096,8,12207,0.003492
scalar,4096,8,12207,0.019534
scalar,4096,9,12207,0.019608
vector,4096,9,12207,0.003436
vector,4096,10,12207,0.003443
scalar,4096,10,12207,0.020305
scalar,8192,1,6103,0.038794
vector,8192,1,6103,0.007250
vector,8192,2,6103,0.006757
scalar,8192,2,6103,0.038723
scalar,8192,3,6103,0.038754
vector,8192,3,6103,0.007167
vector,8192,4,6103,0.007152
scalar,8192,4,6103,0.039162
scalar,8192,5,6103,0.039253
vector,8192,5,6103,0.006518
vector,8192,6,6103,0.006681
scalar,8192,6,6103,0.037778
scalar,8192,7,6103,0.038080
vector,8192,7,6103,0.006639
vector,8192,8,6103,0.006713
scalar,8192,8,6103,0.038425
scalar,8192,9,6103,0.040007
vector,8192,9,6103,0.007066
vector,8192,10,6103,0.007071
scalar,8192,10,6103,0.039120
scalar,10000,1,5000,0.045891
vector,10000,1,5000,0.008328
vector,10000,2,5000,0.008053
scalar,10000,2,5000,0.046301
scalar,10000,3,5000,0.047402
vector,10000,3,5000,0.008605
vector,10000,4,5000,0.008691
scalar,10000,4,5000,0.048213
scalar,10000,5,5000,0.046286
vector,10000,5,5000,0.008054
vector,10000,6,5000,0.008164
scalar,10000,6,5000,0.046016
scalar,10000,7,5000,0.046258
vector,10000,7,5000,0.008185
vector,10000,8,5000,0.008076
scalar,10000,8,5000,0.047964
scalar,10000,9,5000,0.047685
vector,10000,9,5000,0.009056
vector,10000,10,5000,0.008538
scalar,10000,10,5000,0.046379
scalar,16384,1,3051,0.076358
vector,16384,1,3051,0.013081
vector,16384,2,3051,0.013634
scalar,16384,2,3051,0.079356
scalar,16384,3,3051,0.080184
vector,16384,3,3051,0.014046
vector,16384,4,3051,0.014563
