N;reps;working_set_KB;scalar_mean_ms;scalar_median_ms;scalar_min_ms;scalar_std_ms;vector_mean_ms;vector_median_ms;vector_min_ms;vector_std_ms;speedup_median;speedup_min;scalar_ns_por_elem;vector_ns_por_elem
1;200000;0,008000;0,000066;0,000045;0,000040;0,000036;0,000064;0,000048;0,000043;0,000035;0,927835;0,930233;45,000000;48,500000
2;200000;0,016000;0,000050;0,000049;0,000046;0,000004;0,000050;0,000049;0,000047;0,000004;1,000000;0,978723;24,500000;24,500000
4;200000;0,031000;0,000057;0,000057;0,000055;0,000002;0,000059;0,000058;0,000054;0,000004;0,982759;1,018519;14,250000;14,500000
7;200000;0,055000;0,000070;0,000071;0,000065;0,000003;0,000073;0,000073;0,000067;0,000003;0,965753;0,970149;10,071429;10,428571
8;200000;0,062000;0,000073;0,000073;0,000070;0,000002;0,000059;0,000059;0,000056;0,000002;1,235294;1,250000;9,187500;7,437500
15;200000;0,117000;0,000114;0,000113;0,000111;0,000002;0,000103;0,000102;0,000096;0,000005;1,118227;1,156250;7,566667;6,766667
16;200000;0,125000;0,000116;0,000116;0,000113;0,000002;0,000072;0,000073;0,000068;0,000003;1,600000;1,661765;7,250000;4,531250
31;200000;0,242000;0,000196;0,000195;0,000174;0,000019;0,000113;0,000111;0,000104;0,000008;1,761261;1,673077;6,306452;3,580645
32;200000;0,250000;0,000160;0,000159;0,000156;0,000005;0,000068;0,000068;0,000066;0,000001;2,330882;2,363636;4,953125;2,125000
63;200000;0,492000;0,000299;0,000298;0,000294;0,000002;0,000114;0,000115;0,000106;0,000005;2,595652;2,773585;4,738095;1,825397
64;200000;0,500000;0,000304;0,000302;0,000297;0,000006;0,000086;0,000086;0,000083;0,000002;3,532164;3,578313;4,718750;1,335938
100;200000;0,781000;0,000481;0,000481;0,000464;0,000011;0,000125;0,000124;0,000120;0,000004;3,867470;3,866667;4,815000;1,245000
127;200000;0,992000;0,000615;0,000615;0,000598;0,000012;0,000155;0,000155;0,000150;0,000004;3,983819;3,986667;4,846457;1,216535
128;200000;1,000000;0,000623;0,000625;0,000600;0,000015;0,000129;0,000130;0,000124;0,000004;4,803846;4,838710;4,878906;1,015625
255;196078;1,992000;0,001209;0,001208;0,001194;0,000013;0,000247;0,000247;0,000234;0,000008;4,880808;5,102564;4,737255;0,970588
256;195312;2,000000;0,001205;0,001203;0,001184;0,000016;0,000211;0,000211;0,000206;0,000004;5,701422;5,747573;4,699219;0,824219
500;100000;3,906000;0,002356;0,002353;0,002298;0,000038;0,000403;0,000402;0,000395;0,000005;5,847205;5,817722;4,707000;0,805000
512;97656;4,000000;0,002424;0,002437;0,002365;0,000037;0,000403;0,000403;0,000395;0,000006;6,039653;5,987342;4,759766;0,788086
1000;50000;7,812000;0,004704;0,004700;0,004628;0,000071;0,000788;0,000789;0,000767;0,000015;5,960051;6,033898;4,699500;0,788500
1001;49950;7,820000;0,004736;0,004751;0,004597;0,000079;0,000798;0,000795;0,000770;0,000018;5,976101;5,970130;4,746254;0,794206
1024;48828;8,000000;0,004814;0,004805;0,004706;0,000058;0,000827;0,000817;0,000781;0,000034;5,877676;6,025608;4,692383;0,798340
2048;24414;16,000000;0,009685;0,009741;0,009447;0,000152;0,001644;0,001648;0,001597;0,000029;5,909008;5,915466;4,756348;0,804932
4096;12207;32,000000;0,019600;0,019472;0,019204;0,000349;0,003409;0,003432;0,003274;0,000089;5,672833;5,865608;4,753906;0,838013
8192;6103;64,000000;0,038810;0,038774;0,037778;0,000633;0,006901;0,006912;0,006518;0,000265;5,610070;5,795950;4,733154;0,843689
10000;5000;78,125000;0,046839;0,046340;0,045891;0,000876;0,008375;0,008256;0,008053;0,000337;5,612548;5,698622;4,634000;0,825650
16384;3051;128,000000;0,077920;0,077384;0,076358;0,001274;0,013853;0,013653;0,013081;0,000541;5,667948;5,837321;4,723175;0,833313
32768;1525;256,000000;0,155224;0,154172;0,153185;0,002157;0,028112;0,028231;0,027181;0,000581;5,460974;5,635738;4,704941;0,861557
65536;762;512,000000;0,311770;0,311010;0,300761;0,006618;0,056713;0,055281;0,053695;0,003278;5,625933;5,601285;4,745636;0,843529
100000;500;781,250000;0,481299;0,471861;0,463750;0,020300;0,087240;0,085506;0,079846;0,006833;5,518417;5,808056;4,718605;0,855065
131072;381;1024,000000;0,635321;0,620281;0,606852;0,027340;0,111512;0,110743;0,105768;0,004648;5,601085;5,737577;4,732368;0,844902
262144;190;2048,000000;1,320593;1,301880;1,233708;0,063636;0,259755;0,247912;0,230619;0,029488;5,251380;5,349551;4,966278;0,945709
524288;95;4096,000000;2,710460;2,624202;2,550312;0,183434;0,611395;0,582005;0,491593;0,104824;4,508903;5,187853;5,005268;1,110085
1000000;50;7812,500000;5,302902;5,214906;4,953465;0,337690;1,474394;1,453886;1,318167;0,114924;3,586874;3,757843;5,214906;1,453886
2097152;23;16384,000000;11,086115;10,794185;10,604781;0,574447;4,269677;4,310600;3,604765;0,561347;2,504103;2,941879;5,147068;2,055454
4194304;11;32768,000000;22,050425;21,857674;21,003132;0,941349;8,430991;8,504547;6,892917;1,231259;2,570116;3,047060;5,211275;2,027642
8388608;5;65536,000000;44,511549;44,223337;42,343674;1,942693;15,878610;15,124897;13,421264;2,160810;2,923877;3,154969;5,271833;1,803028
10000000;5;78125,000000;52,558220;51,234048;50,608825;2,471949;18,777278;17,826555;16,735153;2,585507;2,874030;3,024103;5,123405;1,782655
